URL,Title,Price,Brand,Model,Trim / Edition,Year of Manufacture,Condition,Transmission,Body type,Fuel type,Engine capacity,Mileage
https://ikman.lk/en/ad/toyota-yaris-g-led-edition-2025-for-sale-colombo,Toyota Yaris G LED EDITION 2025,"Rs 11,490,000",Toyota,Yaris,G LED EDITION,2025,Brand New,Automatic,Hatchback,Petrol,"1,080 cc",0 km
https://ikman.lk/en/ad/toyota-chr-2017-for-sale-colombo-688,Toyota CHR 2017,"Rs 12,850,000",Toyota,CHR,,2017,Used,Automatic,,Petrol,"1,200 cc","93,000 km"
https://ikman.lk/en/ad/toyota-urban-cruiser-taisor-v-2026-for-sale-colombo-13,Toyota Urban Cruiser Taisor V 2026,"Rs 12,000,000",Toyota,Urban Cruiser,Taisor V,2026,Brand New,Automatic,SUV / 4x4,Petrol,"1,000 cc",0 km
https://ikman.lk/en/ad/toyota-camry-60th-anniversary-2013-for-sale-colombo-20,Toyota Camry 60th Anniversary 2013,"Rs 13,450,000",Toyota,Camry,60th Anniversary,2013,Used,Automatic,Saloon,Hybrid,"2,500 cc","157,000 km"
https://ikman.lk/en/ad/toyota-roomy-unregister-2022-for-sale-colombo-33,Toyota Roomy Unregister 2022,"Rs 9,300,000",Toyota,Roomy,Unregister,2022,Reconditioned,Automatic,Hatchback,Petrol,"1,000 cc","33,000 km"
https://ikman.lk/en/ad/toyota-camry-avv50-hybrid-2013-for-sale-colombo,Toyota Camry AVV50 Hybrid 2013,"Rs 11,500,000",Toyota,Camry,AVV50  Hybrid,2013,Used,Automatic,Saloon,Hybrid,"2,500 cc","290,000 km"
https://ikman.lk/en/ad/toyota-corolla-2014-for-sale-colombo-18,Toyota Corolla 2014,"Rs 12,500,000",Toyota,Corolla,,2014,Used,Automatic,Saloon,Petrol,"1,600 cc","30,000 km"
https://ikman.lk/en/ad/toyota-hilux-2016-for-sale-colombo-93,Toyota Hilux 2016,"Rs 19,500,000",Toyota,Hilux,,2016,Used,Automatic,SUV / 4x4,Diesel,"2,982 cc","71,956 km"
https://ikman.lk/en/ad/toyota-land-cruiser-sahara-2000-for-sale-colombo-4,Toyota Land Cruiser Sahara 2000,"Rs 15,760,000",Toyota,Land Cruiser Sahara,2000,2000,Used,Automatic,,Petrol,"4,700 cc","134,000 km"
https://ikman.lk/en/ad/toyota-land-cruiser-prado-120-sunroof-2008-for-sale-colombo-6,Toyota Land Cruiser Prado 120 sunroof 2008,"Rs 15,750,000",Toyota,Land Cruiser Prado,120 sunroof 2008,2008,Used,Automatic,SUV / 4x4,Petrol,"2,700 cc","131,000 km"
https://ikman.lk/en/ad/toyota-raize-z-2023-for-sale-colombo-10,Toyota Raize Z 2023,"Rs 13,600,000",Toyota,Raize,Z,2023,Reconditioned,Automatic,SUV / 4x4,Hybrid,"1,200 cc","14,000 km"
https://ikman.lk/en/ad/toyota-land-cruiser-prado-lc300zx-2026-for-sale-colombo,Toyota Land Cruiser Prado LC300ZX 2026,"Rs 99,000,000",Toyota,Land Cruiser Prado,LC300ZX,2026,Brand New,Tiptronic,SUV / 4x4,Petrol,"3,000 cc",10 km
https://ikman.lk/en/ad/toyota-premio-2018-for-sale-colombo-467,Toyota Premio 2018,"Rs 16,500,000",Toyota,Premio,,2018,Used,Automatic,Saloon,Petrol,"1,500 cc","133,000 km"
https://ikman.lk/en/ad/toyota-taisor-v-grade-blacktop-2026-for-sale-colombo-38,Toyota Taisor V GRADE BLACKTOP 2026,"Rs 12,290,000",Toyota,Taisor,V GRADE BLACKTOP,2026,Brand New,Automatic,Hatchback,Petrol,"1,000 cc",0 km
https://ikman.lk/en/ad/toyota-hilux-travo-overland-28l-2026-for-sale-colombo-58,Toyota Hilux Travo Overland+ 2.8L 2026,"Rs 31,000,000",Toyota,Hilux,Travo Overland+ 2.8L,2026,Import,Automatic,SUV / 4x4,Diesel,"2,800 cc",0 km
https://ikman.lk/en/ad/toyota-belta-2007-for-sale-colombo-1196,Toyota Belta 2007,"Rs 6,500,000",Toyota,Belta,,2007,Used,Automatic,Saloon,Petrol,"1,290 cc","146,775 km"
https://ikman.lk/en/ad/toyota-crown-royal-saloon-diesel-1998-for-sale-colombo,Toyota Crown Royal Saloon Diesel 1998,"Rs 11,250,000",Toyota,Crown,Royal Saloon Diesel,1998,Used,Automatic,Saloon,Diesel,"2,440 cc","150,000 km"
https://ikman.lk/en/ad/toyota-harrier-z-leather-tan-2025-for-sale-gampaha,Toyota Harrier Z Leather Tan 2025,"Rs 40,500,000",Toyota,Harrier,Z Leather Tan,2025,Reconditioned,Automatic,SUV / 4x4,Petrol,"2,000 cc","3,760 km"
https://ikman.lk/en/ad/toyota-premio-g-superior-2018-for-sale-colombo-1125,Toyota Premio G superior 2018,"Rs 15,200,000",Toyota,Premio,G superior,2018,Used,Automatic,Saloon,Petrol,"1,500 cc","98,000 km"
https://ikman.lk/en/ad/toyota-raize-z-hybrid-4way-cam-2025-for-sale-colombo,Toyota Raize Z Hybrid 4way Cam 2025,"Rs 14,295,000",Toyota,Raize,Z Hybrid 4way Cam,2025,Brand New,Automatic,SUV / 4x4,Hybrid,"1,200 cc",5 km
https://ikman.lk/en/ad/toyota-raize-z-hybrid-4way-2025-for-sale-colombo-28,Toyota Raize Z HYBRID 4WAY 2025,"Rs 14,500,000",Toyota,Raize,Z HYBRID 4WAY,2025,Brand New,Automatic,SUV / 4x4,Hybrid,"1,200 cc",0 km
https://ikman.lk/en/ad/toyota-raize-z-hybrid-4way-2026-for-sale-colombo-16,Toyota Raize Z HYBRID 4WAY 2026,"Rs 14,800,000",Toyota,Raize,Z HYBRID 4WAY,2026,Brand New,Automatic,SUV / 4x4,Hybrid,"1,200 cc",0 km
https://ikman.lk/en/ad/toyota-yaris-g-led-edition-2023-for-sale-colombo-6,Toyota Yaris G LED Edition 2023,"Rs 10,950,000",Toyota,Yaris,G LED Edition,2023,Reconditioned,Automatic,,Petrol,"1,000 cc","3,000 km"
https://ikman.lk/en/ad/toyota-land-cruiser-sahara-lc300-zx-2026-for-sale-colombo-13,Toyota Land Cruiser Sahara LC300 ZX 2026,"Rs 92,000,000",Toyota,Land Cruiser Sahara,LC300 ZX,2026,Import,Automatic,SUV / 4x4,Petrol,"3,500 cc",0 km
https://ikman.lk/en/ad/toyota-land-cruiser-prado-250-vx-2026-for-sale-colombo-9,Toyota Land Cruiser Prado 250 VX 2026,"Rs 68,000,000",Toyota,Land Cruiser Prado,250 VX,2026,Brand New,Automatic,SUV / 4x4,Petrol,"2,700 cc",0 km
https://ikman.lk/en/ad/toyota-taisor-v-grade-2026-for-sale-colombo-102,Toyota Taisor V Grade 2026,"Rs 11,600,000",Toyota,Taisor,V Grade,2026,Brand New,Automatic,SUV / 4x4,Petrol,"1,000 cc",0 km
https://ikman.lk/en/ad/toyota-roomy-gt-custom-t-4way-cam-2024-for-sale-colombo,Toyota Roomy GT Custom T 4WAY Cam 2024,"Rs 10,800,000",Toyota,Roomy,GT Custom T 4WAY Cam,2024,Used,Automatic,MPV,Petrol,990 cc,"3,000 km"
https://ikman.lk/en/ad/toyota-land-cruiser-250-vx-2025-for-sale-colombo,Toyota Land Cruiser 250 VX 2025,"Rs 61,000,000",Toyota,Land Cruiser,250 VX,2025,Brand New,Automatic,SUV / 4x4,Petrol,"2,800 cc","5,000 km"
https://ikman.lk/en/ad/toyota-harrier-premium-turbo-2017-for-sale-colombo-3,Toyota Harrier Premium Turbo 2017,"Rs 27,590,000",Toyota,Harrier,Premium Turbo,2017,Used,Automatic,Hatchback,Petrol,"2,000 cc","30,000 km"
https://ikman.lk/en/ad/toyota-chr-ngx10-2019-for-sale-colombo-6,Toyota CHR NGX10 2019,"Rs 4,000,000",Toyota,CHR,NGX10,2019,Reconditioned,Automatic,Hatchback,Petrol,"1,200 cc","119,000 km"
