Price,Make,Model,Year,Mileage,Transmission,Fuel type,Engine capacity,Condition
"Rs 21,990,000",Toyota,Hilux,2023,"3,000 km",Automatic,Diesel,"2,400 cc",Reconditioned
"Rs 39,200,000",Toyota,Harrier,2025,6 km,Automatic,Petrol,"2,000 cc",Reconditioned
"Rs 14,500,000",Toyota,Raize,2025,"23,000 km",Automatic,Hybrid,"1,200 cc",Brand New
"Rs 9,800,000",Toyota,Roomy,2023,"17,000 km",Automatic,Petrol,"1,000 cc",Reconditioned
"Rs 23,500,000",Toyota,Hilux,2023,"11,000 km",Automatic,Diesel,"2,400 cc",Reconditioned
"Rs 6,800,000",Toyota,Pixis,2025,25 km,Automatic,Petrol,660 cc,Reconditioned
"Rs 16,500,000",Toyota,Yaris,2025,"1,000,000 km",Automatic,Petrol,"1,200 cc",Brand New
"Rs 700,000",Toyota,Corolla,1976,"250,000 km",Manual,Petrol,"2,000 cc",Used
"Rs 10,000,000",Toyota,Axio,2015,0 km,Automatic,Petrol,"1,500 cc",Used
"Rs 13,875,000",Toyota,Raize,2025,"120,000 km",Automatic,Hybrid,"1,200 cc",Brand New
"Rs 13,600,000",Toyota,Hilux,2018,"160,000 km",Manual,Diesel,"2,400 cc",Used
"Rs 5,450,000",Toyota,Carina,1998,"18,500 km",Automatic,Petrol,"1,500 cc",Used
"Rs 10,250,000",Toyota,Roomy,2023,10 km,Automatic,Petrol,"1,000 cc",Import
"Rs 120,000,000",Toyota,Land Cruiser Sahara,2025,10 km,Automatic,Diesel,"3,446 cc",Brand New
"Rs 120,000,000",Toyota,Land Cruiser Sahara,2025,10 km,Automatic,Diesel,"3,446 cc",Brand New
"Rs 120,000,000",Toyota,Land Cruiser Prado,2025,"10,000 km",Automatic,Diesel,"3,346 cc",Brand New
"Rs 85,500,000",Toyota,Land Cruiser Prado,2024,"7,000 km",Manual,Diesel,"2,755 cc",Reconditioned
"Rs 85,500,000",Toyota,Land Cruiser Prado,2024,0 km,Automatic,Diesel,"2,755 cc",Reconditioned
"Rs 17,100,000",Toyota,Aqua,2026,"29,000 km",Automatic,Hybrid,"1,500 cc",Import
"Rs 16,500,000",Toyota,Yaris Cross,2024,0 km,Automatic,Hybrid,"1,500 cc",Import
"Rs 9,850,000",Toyota,Yaris,2025,"19,000 km",Automatic,Petrol,"1,000 cc",Brand New
"Rs 16,100,000",Toyota,Corolla,2024,"13,000 km",Automatic,Petrol,"1,500 cc",Import
"Rs 16,300,000",Toyota,Corolla,2024,0 km,Automatic,Petrol,"1,500 cc",Import
"Rs 28,950,000",Toyota,Hilux,2026,"130,000 km",Automatic,Diesel,"2,800 cc",Brand New
"Rs 5,900,000",Toyota,Other Model,2002,0 km,Automatic,Petrol,"1,500 cc",Used
"Rs 14,100,000",Toyota,Raize,2026,4 km,Automatic,Petrol,"1,200 cc",Brand New
"Rs 11,450,000",Toyota,Roomy,2025,4 km,Automatic,Petrol,"1,000 cc",Brand New
"Rs 13,800,000",Toyota,Raize,2026,0 km,Automatic,Hybrid,"1,200 cc",Brand New
"Rs 56,500,000",Toyota,Alphard,2025,"4,000 km",Automatic,Hybrid,"2,500 cc",Brand New
"Rs 16,950,000",Toyota,Yaris Cross,2023,"115,000 km",Automatic,Petrol,"1,500 cc",Reconditioned
"Rs 43,500,000",Toyota,Land Cruiser Sahara,2010,"29,000 km",Automatic,Diesel,"4,500 cc",Reconditioned
"Rs 58,500,000",Toyota,Land Cruiser Prado,2019,"193,500 km",Automatic,Diesel,"2,800 cc",Used
"Rs 6,500,000",Toyota,Allion,2003,0 km,Automatic,Petrol,"1,500 cc",Used
"Rs 11,850,000",Toyota,Taisor,2026,0 km,Automatic,Petrol,"1,000 cc",Brand New
"Rs 11,850,000",Toyota,Taisor,2026,120 km,Automatic,Petrol,"1,000 cc",Brand New
"Rs 7,195,000",Toyota,Vitz,2016,8 km,Automatic,Petrol,"1,000 cc",Used
"Rs 13,650,000",Toyota,Raize,2025,0 km,Automatic,Hybrid,"1,200 cc",Brand New
"Rs 11,850,000",Toyota,Taisor,2026,0 km,Automatic,Petrol,"1,000 cc",Brand New
"Rs 12,100,000",Toyota,Taisor,2026,"234,000 km",Automatic,Petrol,"1,000 cc",Brand New
"Rs 5,050,000",Toyota,Vios,2003,"160,000 km",Automatic,Petrol,"1,490 cc",Used
"Rs 11,600,000",Toyota,Axio,2017,15 km,Automatic,Petrol,"1,500 cc",Used
"Rs 13,500,000",Toyota,Yaris Ativ,2025,"453,600 km",Automatic,Petrol,"1,200 cc",Brand New
"Rs 595,000",Toyota,Corolla,1971,"131,000 km",Manual,Petrol,"1,200 cc",Used
"Rs 8,650,000",Toyota,Prius,2011,0 km,Automatic,Hybrid,"1,490 cc",Used
"Rs 11,275,000",Toyota,Taisor,2025,250 km,Tiptronic,Hybrid,"1,000 cc",Brand New
"Rs 13,650,000",Toyota,Raize,2025,0 km,Automatic,Hybrid,"1,200 cc",Brand New
"Rs 17,750,000",Toyota,UrbanCruiser Hyryder,2026,0 km,Automatic,Petrol,"1,500 cc",Brand New
"Rs 11,800,000",Toyota,Taisor,2026,0 km,Automatic,Petrol,"1,000 cc",Brand New
"Rs 12,100,000",Toyota,Taisor,2026,"59,500 km",Automatic,Petrol,"1,000 cc",Brand New
"Rs 7,800,000",Toyota,Vitz,2016,"86,000 km",Automatic,Petrol,990 cc,Used
"Rs 13,000,000",Toyota,CHR,2018,"60,700 km",Automatic,Petrol,"1,200 cc",Used
"Rs 15,500,000",Toyota,CHR,2018,"98,000 km",Automatic,Petrol,"1,200 cc",Used
"Rs 14,200,000",Toyota,Allion,2017,"150,000 km",Automatic,Petrol,"1,500 cc",Used
"Rs 3,400,000",Toyota,Corolla,2001,10 km,Automatic,Diesel,"2,000 cc",Used
"Rs 17,500,000",Toyota,Aqua,2026,0 km,Automatic,Hybrid,"1,500 cc",Brand New
"Rs 15,600,000",Toyota,Hyryder,2026,0 km,Automatic,Hybrid,"1,500 cc",Import
"Rs 11,400,000",Toyota,Taisor,2026,30 km,Automatic,Hybrid,"1,000 cc",Import
"Rs 29,500,000",Toyota,Other Model,2026,"59,000 km",Automatic,Diesel,"2,800 cc",Import
"Rs 9,890,000",Toyota,Raize,2023,"167,000 km",Automatic,Petrol,990 cc,Reconditioned
"Rs 8,750,000",Toyota,Premio,2007,"276,000 km",Automatic,Petrol,"1,500 cc",Used
"Rs 14,500,000",Toyota,Camry,2013,"10,000 km",Automatic,Petrol,"2,500 cc",Used
"Rs 22,000,000",Toyota,Other Model,2025,"80,700 km",Automatic,Diesel,"2,800 cc",Import
"Rs 7,290,000",Toyota,Aqua,2014,"4,500 km",Automatic,Hybrid,"1,497 cc",Used
"Rs 15,090,000",Toyota,Yaris Cross,2025,"2,490 km",Automatic,Hybrid,"1,490 cc",Import
"Rs 12,990,000",Toyota,Raize,2025,"4,500 km",Automatic,Hybrid,990 cc,Import
"Rs 14,990,000",Toyota,Yaris Cross,2025,0 km,Automatic,Hybrid,"1,490 cc",Import
"Rs 23,800,000",Toyota,Other Model,2026,6 km,Automatic,Petrol,"2,700 cc",Import
"Rs 13,150,000",Toyota,Raize,2026,"234,999 km",Automatic,Petrol,"1,000 cc",Brand New
"Rs 10,300,000",Toyota,Hilux,2010,"14,000 km",Manual,Diesel,"2,500 cc",Used
"Rs 25,500,000",Toyota,Prius,2023,0 km,Automatic,Hybrid,"1,800 cc",Import
"Rs 29,500,000",Toyota,Hilux,2025,"7,000 km",Automatic,Diesel,"2,800 cc",Brand New
"Rs 12,350,000",Toyota,Raize,2024,5 km,Tiptronic,Petrol,"1,000 cc",Reconditioned
"Rs 14,150,000",Toyota,Raize,2026,1 km,Automatic,Hybrid,"1,200 cc",Brand New
"Rs 14,475,000",Toyota,Raize,2025,1 km,Automatic,Hybrid,"1,200 cc",Brand New
"Rs 13,975,000",Toyota,Raize,2025,"8,000 km",Automatic,Hybrid,"1,200 cc",Brand New
"Rs 9,100,000",Toyota,Yaris,2023,5 km,Automatic,Petrol,"1,000 cc",Reconditioned
"Rs 28,600,000",Toyota,Hilux,2026,"70,000 km",Automatic,Diesel,"2,800 cc",Brand New
"Rs 7,990,000",Toyota,Aqua,2014,"319,200 km",Automatic,Hybrid,"1,490 cc",Used
"Rs 1,850,000",Toyota,Corolla,1987,600 km,Manual,Petrol,"1,300 cc",Used
"Rs 16,850,000",Toyota,Corolla,2023,"336,000 km",Automatic,Petrol,"1,500 cc",Brand New
"Rs 1,275,000",Toyota,Corolla,1985,0 km,Automatic,Petrol,"1,300 cc",Used
"Rs 17,750,000",Toyota,Hyryder V,2026,0 km,Automatic,Petrol,"1,500 cc",Brand New
"Rs 17,750,000",Toyota,UrbanCruiser Hyryder,2026,"10,000 km",Automatic,Petrol,"1,500 cc",Brand New
"Rs 17,500,000",Toyota,Corolla,2023,"177,000 km",Automatic,Petrol,"1,500 cc",Used
"Rs 2,475,000",Toyota,Corolla,1992,"170,000 km",Manual,Diesel,"2,000 cc",Used
"Rs 7,550,000",Toyota,Axio,2008,0 km,Automatic,Petrol,"1,500 cc",Used
"Rs 10,900,000",Toyota,Taisor,2026,"75,600 km",Automatic,Petrol,"1,000 cc",Brand New
"Rs 13,000,000",Toyota,CHR,2017,"207,000 km",Automatic,Petrol,"1,200 cc",Used
"Rs 7,300,000",Toyota,Allion,2007,"120,000 km",Automatic,Petrol,"1,500 cc",Used
"Rs 7,799,999",Toyota,Vitz,2017,"76,000 km",Automatic,Petrol,990 cc,Used
"Rs 8,500,000",Toyota,Vitz,2019,"148,000 km",Automatic,Petrol,"1,000 cc",Used
"Rs 14,500,000",Toyota,Land Cruiser Sahara,2000,0 km,Automatic,Petrol,"4,700 cc",Used
"Rs 11,250,000",Toyota,Yaris,2026,"11,500 km",Automatic,Petrol,"1,000 cc",Brand New
"Rs 16,800,000",Toyota,CHR,2023,1 km,Automatic,Petrol,"1,200 cc",Used
"Rs 12,495,000",Toyota,Raize,2024,300 km,Automatic,Petrol,"1,000 cc",Brand New
"Rs 8,500,000",Toyota,Passo,2023,"139,000 km",Automatic,Petrol,"1,000 cc",Brand New
"Rs 8,550,000",Toyota,Aqua,2016,10 km,Automatic,Hybrid,"1,500 cc",Used
"Rs 120,000,000",Toyota,Land Cruiser Sahara,2025,"7,000 km",Automatic,Diesel,"3,346 cc",Brand New
"Rs 85,500,000",Toyota,Land Cruiser Prado,2024,"13,000 km",Automatic,Diesel,"2,755 cc",Reconditioned
"Rs 24,500,000",Toyota,Land Cruiser Prado,2023,"13,000 km",Manual,Diesel,"2,755 cc",Reconditioned
"Rs 24,500,000",Toyota,Hilux,2023,"7,000 km",Automatic,Diesel,"2,755 cc",Reconditioned
"Rs 85,500,000",Toyota,Land Cruiser Prado,2024,1 km,Automatic,Diesel,"2,755 cc",Used
"Rs 13,675,000",Toyota,Raize,2025,0 km,Automatic,Hybrid,"1,200 cc",Brand New
"Rs 26,000,000",Toyota,Hilux,2025,"8,500 km",Automatic,Diesel,"2,800 cc",Brand New
"Rs 8,900,000",Toyota,Yaris,2023,"10,500 km",Automatic,Petrol,"1,000 cc",Reconditioned
"Rs 8,550,000",Toyota,Roomy,2023,0 km,Automatic,Petrol,"1,000 cc",Reconditioned
"Rs 17,750,000",Toyota,UrbanCruiser Hyryder,2026,"198,000 km",Automatic,Petrol,"1,500 cc",Brand New
"Rs 37,800,000",Toyota,Land Cruiser Prado,2016,0 km,Tiptronic,Diesel,"3,000 cc",Used
"Rs 13,900,000",Toyota,Raize,2026,5 km,Automatic,Hybrid,"1,200 cc",Brand New
"Rs 10,100,000",Toyota,Yaris,2024,"90,000 km",Automatic,Petrol,"1,000 cc",Import
"Rs 25,000,000",Toyota,Harrier,2017,1 km,Automatic,Petrol,"2,000 cc",Used
"Rs 14,375,000",Toyota,Raize,2025,"21,000 km",Automatic,Hybrid,"1,200 cc",Brand New
"Rs 16,895,000",Toyota,Yaris,2023,"20,545 km",Automatic,Hybrid,"1,500 cc",Reconditioned
"Rs 16,795,000",Toyota,Yaris,2023,0 km,Automatic,Hybrid,"1,500 cc",Reconditioned
"Rs 19,500,000",Toyota,Yaris,2025,0 km,Automatic,Hybrid,"1,500 cc",Brand New
"Rs 15,300,000",Toyota,Raize,2026,0 km,Automatic,Hybrid,"1,200 cc",Brand New
"Rs 97,900,000",Toyota,Land Cruiser Prado,2025,0 km,Automatic,Petrol,"3,500 cc",Brand New
"Rs 15,500,000",Toyota,Raize,2026,"9,000 km",Automatic,Hybrid,"1,200 cc",Brand New
"Rs 11,450,000",Toyota,Roomy,2023,"167,000 km",Automatic,Petrol,"1,000 cc",Reconditioned
"Rs 1,200,000",Toyota,Sprinter,1991,0 km,Manual,Petrol,"1,500 cc",Used
"Rs 11,950,000",Toyota,Urban Cruiser,2026,"99,000 km",Automatic,Petrol,"1,000 cc",Brand New
"Rs 8,150,000",Toyota,Vitz,2018,"160,000 km",Automatic,Petrol,"1,000 cc",Used
"Rs 1,950,000",Toyota,Starlet,1987,"7,000 km",Manual,Petrol,"1,300 cc",Used
"Rs 14,250,000",Toyota,Raize,2025,"92,000 km",Automatic,Hybrid,"1,200 cc",Reconditioned
"Rs 12,500,000",Toyota,CHR,2017,"140,000 km",Automatic,Petrol,"1,200 cc",Used
"Rs 8,150,000",Toyota,Aqua,2014,"19,000 km",Automatic,Hybrid,"1,500 cc",Used
"Rs 11,300,000",Toyota,Roomy,2023,0 km,Automatic,Petrol,"1,000 cc",Reconditioned
"Rs 15,500,000",Toyota,Raize,2026,"10,999 km",Automatic,Hybrid,"1,200 cc",Brand New
"Rs 12,700,000",Toyota,Raize,2024,"35,000 km",Automatic,Hybrid,"1,200 cc",Import
"Rs 8,765,000",Toyota,Yaris,2024,7 km,Automatic,Petrol,"1,000 cc",Reconditioned
"Rs 11,298,000",Toyota,Roomy,2025,"216,000 km",Automatic,Petrol,"1,000 cc",Import
"Rs 5,100,000",Toyota,IST,2003,"148,000 km",Automatic,Petrol,"1,300 cc",Used
"Rs 4,450,000",Toyota,Cami,1999,"7,000 km",Automatic,Petrol,"1,290 cc",Used
"Rs 54,000,000",Toyota,Land Cruiser Prado,2023,0 km,Automatic,Petrol,"2,700 cc",Used
"Rs 12,300,000",Toyota,Yaris,2026,"12,000 km",Automatic,Petrol,"1,000 cc",Brand New
"Rs 10,950,000",Toyota,Roomy,2023,"142,853 km",Automatic,Petrol,"1,000 cc",Reconditioned
"Rs 840,000",Toyota,Corolla,1987,"95,000 km",Manual,Petrol,"1,300 cc",Used
"Rs 6,650,000",Toyota,Prius,2008,"18,000 km",Automatic,Petrol,"1,490 cc",Used
"Rs 10,950,000",Toyota,Roomy,2023,"150,000 km",Automatic,Petrol,"1,000 cc",Reconditioned
"Rs 33,500,000",Toyota,Land Cruiser Prado,2015,"179,823 km",Automatic,Petrol,"2,700 cc",Used
"Rs 2,050,000",Toyota,Corolla,1991,0 km,Manual,Diesel,"1,800 cc",Used
"Rs 27,000,000",Toyota,Hilux,2025,"96,326 km",Automatic,Diesel,"2,800 cc",Brand New
"Rs 3,000,000",Toyota,Corolla,1992,"115,650 km",Manual,Petrol,"1,300 cc",Used
"Rs 15,850,000",Toyota,Premio,2018,10 km,Automatic,Petrol,"1,500 cc",Reconditioned
"Rs 28,691,000",Toyota,Hilux,2026,"11,674 km",Automatic,Diesel,"2,800 cc",Import
"Rs 12,400,000",Toyota,Raize,2025,10 km,Automatic,Petrol,998 cc,Reconditioned
"Rs 25,850,000",Toyota,Hilux,2026,0 km,Automatic,Diesel,"2,800 cc",Import
"Rs 34,200,000",Toyota,Voxy,2026,0 km,Automatic,Hybrid,"1,800 cc",Brand New
"Rs 14,800,000",Toyota,Raize,2025,"319,200 km",Automatic,Hybrid,"1,200 cc",Brand New
"Rs 1,290,000",Toyota,Corolla,1987,"89,500 km",Manual,Petrol,"1,500 cc",Used
"Rs 9,850,000",Toyota,Yaris,2020,"91,300 km",Automatic,Petrol,"1,200 cc",Used
"Rs 8,150,000",Toyota,Vitz,2018,"210,000 km",Automatic,Petrol,990 cc,Used
"Rs 16,490,000",Toyota,Land Cruiser Prado,2007,0 km,Automatic,Petrol,"2,700 cc",Used
"Rs 14,650,000",Toyota,Raize,2026,"533,577 km",Automatic,Hybrid,"1,200 cc",Brand New
"Rs 1,000,000",Toyota,Corolla,1978,"165,800 km",Manual,Petrol,"1,300 cc",Used
"Rs 10,500,000",Toyota,Land Cruiser Prado,1987,"294,000 km",Automatic,Diesel,"2,500 cc",Used
"Rs 1,850,000",Toyota,Corona,1990,"141,668 km",Manual,Petrol,"1,500 cc",Used
"Rs 6,490,000",Toyota,Passo,2017,"125,000 km",Automatic,Petrol,"1,000 cc",Used
"Rs 890,000",Toyota,Corolla,1984,"145,000 km",Manual,Petrol,"1,300 cc",Used
"Rs 2,550,000",Toyota,Starlet,1991,"150,000 km",Manual,Diesel,"1,450 cc",Used
"Rs 1,500,000",Toyota,Sprinter,1990,"4,000 km",Manual,Petrol,"1,290 cc",Used
"Rs 13,800,000",Toyota,Raize,2023,"14,500 km",Automatic,Petrol,"1,200 cc",Reconditioned
"Rs 8,690,000",Toyota,Yaris,2024,"4,346 km",Automatic,Petrol,"1,000 cc",Import
"Rs 12,950,000",Toyota,Raize,2023,"192,000 km",Automatic,Petrol,"1,200 cc",Reconditioned
"Rs 3,475,000",Toyota,Corsa,1999,"114,000 km",Automatic,Petrol,"1,490 cc",Used
"Rs 620,000",Toyota,Corolla,1979,"168,019 km",Manual,Petrol,"1,300 cc",Used
"Rs 9,850,000",Toyota,Prius,2012,0 km,Automatic,Hybrid,"1,790 cc",Used
"Rs 12,500,000",Toyota,Taisor,2026,"16,000 km",Automatic,Petrol,"1,000 cc",Brand New
"Rs 9,850,000",Toyota,Yaris,2024,0 km,Automatic,Petrol,"1,000 cc",Reconditioned
"Rs 13,790,000",Toyota,Raize,2026,"258,000 km",Automatic,Hybrid,"1,200 cc",Import
"Rs 2,650,000",Toyota,Corolla,1992,"110,000 km",Manual,Diesel,"1,990 cc",Used
"Rs 7,200,000",Toyota,Vitz,2016,"65,000 km",Automatic,Petrol,"1,000 cc",Used
"Rs 2,950,000",Toyota,Soluna,2001,"22,000 km",Manual,Petrol,"1,500 cc",Used
"Rs 8,950,000",Toyota,Roomy,2023,"213,000 km",Automatic,Petrol,"1,000 cc",Reconditioned
"Rs 6,500,000",Toyota,IST,2007,"125,000 km",Automatic,Petrol,"1,290 cc",Used
"Rs 49,500,000",Toyota,Land Cruiser Sahara,2014,"7,000 km",Automatic,Diesel,"4,500 cc",Used
"Rs 8,675,000",Toyota,Passo,2023,"190,000 km",Automatic,Petrol,"1,000 cc",Reconditioned
"Rs 2,975,000",Toyota,Tercel,1998,"125,500 km",Manual,Petrol,"1,330 cc",Used
"Rs 26,000,000",Toyota,Land Cruiser Prado,2011,"3,000 km",Automatic,Petrol,"2,700 cc",Used
"Rs 6,790,000",Toyota,Pixis,2025,"126,000 km",Automatic,Petrol,660 cc,Import
"Rs 7,750,000",Toyota,Axio,2008,"203,000 km",Automatic,Petrol,"1,500 cc",Used
"Rs 5,250,000",Toyota,Vios,2006,"197,000 km",Automatic,Petrol,"1,500 cc",Used
"Rs 24,500,000",Toyota,Land Cruiser Sahara,2007,"45,800 km",Automatic,Petrol,"4,700 cc",Used
"Rs 13,500,000",Toyota,CHR,2018,"140,000 km",Automatic,Petrol,"1,190 cc",Used
"Rs 15,000,000",Toyota,Prius,2016,"178,540 km",Automatic,Hybrid,"1,800 cc",Used
"Rs 10,700,000",Toyota,Hilux,2010,"233,000 km",Manual,Diesel,"2,500 cc",Used
"Rs 7,050,000",Toyota,Axio,2007,"35,000 km",Automatic,Petrol,"1,500 cc",Used
"Rs 8,150,000",Toyota,Vitz,2017,"376,725 km",Automatic,Petrol,"1,000 cc",Used
"Rs 1,290,000",Toyota,Corolla,1984,"124,000 km",Manual,Petrol,"1,300 cc",Used
"Rs 11,600,000",Toyota,Hilux,2007,"327,600 km",Automatic,Diesel,"3,000 cc",Used
"Rs 1,750,000",Toyota,Starlet,1986,"188,720 km",Manual,Petrol,"1,300 cc",Used
"Rs 9,000,000",Toyota,Prius,2011,"250,000 km",Automatic,Hybrid,"1,800 cc",Used
"Rs 32,000,000",Toyota,Land Cruiser,2012,"180,000 km",Automatic,Petrol,"2,690 cc",Used
"Rs 9,000,000",Toyota,Prius,2011,"386,400 km",Automatic,Petrol,"1,800 cc",Used
"Rs 620,000",Toyota,Corolla,1979,"235,000 km",Manual,Petrol,"1,300 cc",Used
"Rs 14,000,000",Toyota,Hilux,2011,"210,000 km",Automatic,Diesel,"2,982 cc",Used
"Rs 34,500,000",Toyota,Land Cruiser Sahara,2010,"38,000 km",Automatic,Petrol,"4,600 cc",Used
"Rs 36,000,000",Toyota,Harrier,2023,127 km,Automatic,Petrol,"2,000 cc",Used
"Rs 11,799,999",Toyota,Taisor,2026,"100,000 km",Automatic,Petrol,998 cc,Brand New
"Rs 1,300,000",Toyota,Corolla,1975,"21,000 km",Manual,Petrol,50 cc,Used
"Rs 12,600,000",Toyota,Raize,2024,"344,400 km",Automatic,Petrol,998 cc,Reconditioned
"Rs 1,250,000",Toyota,Sprinter,1984,"15,000 km",Manual,Petrol,"1,300 cc",Used
"Rs 12,950,000",Toyota,Raize,2023,"61,000 km",Automatic,Hybrid,"1,200 cc",Reconditioned
"Rs 12,800,000",Toyota,Aqua,2023,"74,306 km",Automatic,Petrol,"1,500 cc",Used
"Rs 8,300,000",Toyota,Aqua,2013,"85,000 km",Automatic,Petrol,"1,500 cc",Used
"Rs 11,700,000",Toyota,Raize,2023,"208,253 km",Automatic,Petrol,"1,000 cc",Import
"Rs 15,000,000",Toyota,Hilux,2013,0 km,Manual,Diesel,"2,500 cc",Used
"Rs 13,190,000",Toyota,Raize,2026,"258,000 km",Automatic,Hybrid,"1,200 cc",Import
"Rs 2,850,000",Toyota,Carina,1997,"183,000 km",Manual,Petrol,"1,500 cc",Used
"Rs 2,500,000",Toyota,Tercel,1996,"117,350 km",Manual,Petrol,"1,300 cc",Used
"Rs 8,090,000",Toyota,Vitz,2018,"124,000 km",Automatic,Petrol,990 cc,Used
"Rs 51,000,000",Toyota,Land Cruiser Sahara,2013,0 km,Automatic,Diesel,"4,600 cc",Used
"Rs 18,875,000",Toyota,Sienta,2025,"8,600 km",Automatic,Hybrid,"1,500 cc",Brand New
"Rs 13,600,000",Toyota,Raize,2023,"148,000 km",Automatic,Petrol,"1,200 cc",Brand New
"Rs 11,200,000",Toyota,Premio,2013,"200,000 km",Automatic,Petrol,"1,500 cc",Reconditioned
"Rs 2,985,000",Toyota,Carina,1997,"256,000 km",Manual,Petrol,"1,499 cc",Used
"Rs 5,690,000",Toyota,Vios,2004,"180,000 km",Automatic,Petrol,"1,500 cc",Used
"Rs 8,950,000",Toyota,Aqua,2015,"177,300 km",Automatic,Hybrid,"1,500 cc",Used
"Rs 4,465,000",Toyota,Passo,2004,"128,000 km",Automatic,Petrol,"1,000 cc",Used
"Rs 81,500,000",Toyota,Allion,2011,0 km,Other transmission,Petrol,"1,496 cc",Used
"Rs 13,800,000",Toyota,Raize,2026,"50,000 km",Automatic,Petrol,"1,200 cc",Brand New
"Rs 750,000",Toyota,Corolla,1978,"98,000 km",Manual,Petrol,"1,200 cc",Used
"Rs 8,675,000",Toyota,Vitz,2019,0 km,Automatic,Petrol,"1,000 cc",Used
"Rs 11,650,000",Toyota,Roomy,2025,"170,000 km",Automatic,Petrol,"1,000 cc",Brand New
"Rs 9,450,000",Toyota,Allion,2010,"30,405 km",Automatic,Petrol,"1,500 cc",Used
"Rs 10,250,000",Toyota,Roomy,2022,"131,000 km",Automatic,Petrol,"1,000 cc",Used
"Rs 11,200,000",Toyota,CHR,2017,"365,000 km",Automatic,Petrol,"1,200 cc",Used
"Rs 6,150,000",Toyota,Hilux,1991,"19,000 km",Manual,Diesel,"2,770 cc",Used
"Rs 39,500,000",Toyota,Land Cruiser Prado,2015,"120,009 km",Automatic,Petrol,"2,700 cc",Reconditioned
"Rs 9,875,000",Toyota,Axio,2015,"7,850 km",Automatic,Hybrid,"1,500 cc",Used
"Rs 14,200,000",Toyota,Raize,2024,"195,000 km",Automatic,Petrol,"1,200 cc",Reconditioned
"Rs 5,290,000",Toyota,Passo,2010,"111,315 km",Automatic,Petrol,"1,000 cc",Used
"Rs 1,360,000",Toyota,Corolla,1984,"375,870 km",Manual,Petrol,"1,500 cc",Used
"Rs 1,850,000",Toyota,Corona,1991,"19,000 km",Manual,Diesel,"1,970 cc",Used
"Rs 11,750,000",Toyota,Raize,2025,"44,000 km",Automatic,Petrol,"1,000 cc",Import
"Rs 14,800,000",Toyota,CHR,2018,"91,000 km",Automatic,Petrol,"1,200 cc",Used
"Rs 5,700,000",Toyota,Vitz,2007,"149,000 km",Automatic,Petrol,"1,000 cc",Used
"Rs 6,300,000",Toyota,Corolla,2008,"82,000 km",Automatic,Petrol,"1,600 cc",Used
"Rs 67,500,000",Toyota,Land Cruiser Sahara,2016,"100,000 km",Tiptronic,Diesel,"4,600 cc",Reconditioned
"Rs 10,600,000",Toyota,Prius,2012,"167,000 km",Automatic,Hybrid,"1,800 cc",Used
"Rs 11,490,000",Toyota,Axio,2015,"307,777 km",Automatic,Hybrid,"1,500 cc",Used
"Rs 2,700,000",Toyota,Corolla,1996,"140,000 km",Manual,Petrol,"1,330 cc",Used
"Rs 3,125,000",Toyota,Soluna,1999,"219,356 km",Automatic,Petrol,"1,500 cc",Used
"Rs 2,350,000",Toyota,Corolla,1990,"206,000 km",Manual,Petrol,"1,290 cc",Used
"Rs 31,500,000",Toyota,Land Cruiser Prado,2014,"170,000 km",Automatic,Petrol,"2,700 cc",Used
"Rs 7,700,000",Toyota,Avanza,2012,"220,000 km",Automatic,Petrol,"1,500 cc",Used
"Rs 870,000",Toyota,Corolla,1985,"138,900 km",Manual,Petrol,"1,300 cc",Used
"Rs 9,800,000",Toyota,Prius,2012,"93,021 km",Automatic,Hybrid,"1,800 cc",Used
"Rs 7,400,000",Toyota,Vitz,2016,"16,000 km",Automatic,Petrol,990 cc,Used
"Rs 15,800,000",Toyota,Yaris Cross,2024,"112,000 km",Automatic,Hybrid,"1,500 cc",Reconditioned
"Rs 13,500,000",Toyota,Rush,2018,"5,700 km",Automatic,Petrol,"1,500 cc",Used
"Rs 12,250,000",Toyota,Raize,2025,"23,268 km",Tiptronic,Petrol,"1,000 cc",Reconditioned
"Rs 24,500,000",Toyota,Hilux,2023,"270,000 km",Automatic,Diesel,"2,400 cc",Import
"Rs 8,578,000",Toyota,Axio,2008,"100,000 km",Automatic,Petrol,"1,496 cc",Used
"Rs 7,300,000",Toyota,Passo,2016,"225,000 km",Automatic,Petrol,"1,000 cc",Used
"Rs 6,800,000",Toyota,Allion,2004,"128,000 km",Automatic,Petrol,"1,500 cc",Used
"Rs 16,500,000",Toyota,Crown,2012,"31,000 km",Tiptronic,Petrol,"3,000 cc",Used
"Rs 13,250,000",Toyota,Raize,2022,"13,705 km",Automatic,Hybrid,"1,200 cc",Used
"Rs 14,750,000",Toyota,Aqua,2024,"135,211 km",Automatic,Hybrid,"1,500 cc",Reconditioned
"Rs 34,000,000",Toyota,Land Cruiser Prado,2015,"9,212 km",Automatic,Petrol,"2,500 cc",Used
"Rs 17,750,000",Toyota,CHR,2023,"12,250 km",Automatic,Petrol,"1,200 cc",Reconditioned
"Rs 15,750,000",Toyota,Aqua,2024,0 km,Automatic,Hybrid,"1,500 cc",Reconditioned
"Rs 14,150,000",Toyota,Raize,2025,0 km,Automatic,Petrol,"1,000 cc",Brand New
"Rs 14,000,000",Toyota,Raize,2026,0 km,Automatic,Petrol,"1,000 cc",Brand New
