Price,Make,Model,Year,Mileage,Transmission,Fuel type,Engine capacity,Condition
"Rs 14,150,000",Toyota,Raize,2026,0 km,Automatic,Hybrid,"1,200 cc",Brand New
"Rs 15,650,000",Toyota,Premio,2018,"81,000 km",Automatic,Petrol,"1,500 cc",Used
"Rs 31,250,000",Toyota,Voxy,2025,0 km,Automatic,Hybrid,"1,800 cc",Brand New
"Rs 13,650,000",Toyota,Raize,2024,"14,000 km",Automatic,Hybrid,"1,200 cc",Reconditioned
"Rs 11,700,000",Toyota,Taisor,2026,0 km,Automatic,Petrol,"1,000 cc",Brand New
"Rs 14,500,000",Toyota,Premio,2015,"81,217 km",Automatic,Petrol,"1,500 cc",Used
"Rs 8,975,000",Toyota,Axio,2014,"170,000 km",Automatic,Hybrid,"1,500 cc",Used
"Rs 25,650,000",Toyota,Hilux,2025,0 km,Automatic,Diesel,"2,800 cc",Brand New
"Rs 14,900,000",Toyota,Raize,2025,25 km,Automatic,Petrol,"1,200 cc",Brand New
"Rs 31,600,000",Toyota,Land Cruiser Prado,2013,"85,000 km",Automatic,Petrol,"2,700 cc",Used
"Rs 3,200,000",Toyota,Carina,1995,"267,000 km",Automatic,Petrol,"1,500 cc",Used
"Rs 54,500,000",Toyota,Land Cruiser Sahara,2015,"61,000 km",Automatic,Petrol,"4,600 cc",Used
"Rs 8,900,000",Toyota,Yaris,2023,"42,000 km",Automatic,Hybrid,"1,000 cc",Reconditioned
"Rs 88,500,000",Toyota,Land Cruiser,2023,"7,700 km",Automatic,Petrol,"3,500 cc",Used
"Rs 11,875,000",Toyota,Taisor,2026,0 km,Automatic,Petrol,"1,000 cc",Brand New
"Rs 11,000,000",Toyota,Prius,2012,"144,000 km",Automatic,Hybrid,"1,800 cc",Used
"Rs 15,450,000",Toyota,Raize,2026,0 km,Automatic,Hybrid,"1,200 cc",Brand New
"Rs 53,900,000",Toyota,Land Cruiser Prado,2023,"11,000 km",Automatic,Petrol,"2,700 cc",Reconditioned
"Rs 55,000,000",Toyota,Land Cruiser Prado,2024,"6,000 km",Automatic,Petrol,"2,700 cc",Used
"Rs 14,750,000",Toyota,Camry,2013,"72,109 km",Automatic,Hybrid,"2,500 cc",Used
"Rs 38,500,000",Toyota,Harrier,2024,"12,700 km",Automatic,Petrol,"2,000 cc",Reconditioned
"Rs 7,100,000",Toyota,Harrier,2000,"298,844 km",Tiptronic,Petrol,"1,986 cc",Used
"Rs 9,600,000",Toyota,Axio,2014,"157,100 km",Automatic,Hybrid,"1,490 cc",Used
"Rs 16,000,000",Toyota,Land Cruiser Prado,2006,"197,700 km",Automatic,Petrol,"2,700 cc",Used
"Rs 25,650,000",Toyota,Hilux,2025,0 km,Automatic,Diesel,"2,800 cc",Brand New
"Rs 8,000,000",Toyota,Corolla,2012,"131,000 km",Automatic,Petrol,"1,600 cc",Used
"Rs 8,650,000",Toyota,Vitz,2019,"91,000 km",Automatic,Petrol,"1,000 cc",Used
"Rs 14,650,000",Toyota,Raize,2025,0 km,Automatic,Hybrid,"1,200 cc",Brand New
"Rs 31,500,000",Toyota,Land Cruiser Prado,2010,"71,000 km",Automatic,Petrol,"2,700 cc",Used
"Rs 10,500,000",Toyota,Roomy,2023,"30,000 km",Automatic,Petrol,"1,000 cc",Reconditioned
"Rs 11,250,000",Toyota,Roomy,2025,"8,000 km",Automatic,Petrol,"1,000 cc",Brand New
"Rs 10,550,000",Toyota,Roomy,2023,"30,000 km",Automatic,Petrol,"1,000 cc",Brand New
"Rs 28,900,000",Toyota,Hilux,2026,0 km,Tiptronic,Diesel,"2,800 cc",Brand New
"Rs 8,950,000",Toyota,Yaris,2023,"78,000 km",Automatic,Petrol,"1,000 cc",Used
"Rs 53,000,000",Toyota,Vellfire,2025,"7,000 km",Automatic,Petrol,"2,500 cc",Used
