Price,Make,Model,Year,Mileage,Transmission,Fuel type,Engine capacity,Condition,vehicle_age
11000000,Toyota,Prius,2012,144000.0,Automatic,Hybrid,1800.0,Used,14
15450000,Toyota,Raize,2026,0.0,Automatic,Hybrid,1200.0,Brand New,0
53900000,Toyota,Land Cruiser Prado,2023,11000.0,Automatic,Petrol,2700.0,Reconditioned,3
55000000,Toyota,Land Cruiser Prado,2024,6000.0,Automatic,Petrol,2700.0,Used,2
14750000,Toyota,Camry,2013,72109.0,Automatic,Hybrid,2500.0,Used,13
38500000,Toyota,Harrier,2024,12700.0,Automatic,Petrol,2000.0,Reconditioned,2
7100000,Toyota,Harrier,2000,298844.0,Tiptronic,Petrol,1986.0,Used,26
9600000,Toyota,Axio,2014,157100.0,Automatic,Hybrid,1490.0,Used,12
16000000,Toyota,Land Cruiser Prado,2006,197700.0,Automatic,Petrol,2700.0,Used,20
8000000,Toyota,Corolla,2012,131000.0,Automatic,Petrol,1600.0,Used,14
8650000,Toyota,Vitz,2019,91000.0,Automatic,Petrol,1000.0,Used,7
14650000,Toyota,Raize,2025,0.0,Automatic,Hybrid,1200.0,Brand New,1
31500000,Toyota,Land Cruiser Prado,2010,71000.0,Automatic,Petrol,2700.0,Used,16
10500000,Toyota,Roomy,2023,30000.0,Automatic,Petrol,1000.0,Reconditioned,3
11250000,Toyota,Roomy,2025,8000.0,Automatic,Petrol,1000.0,Brand New,1
10550000,Toyota,Roomy,2023,30000.0,Automatic,Petrol,1000.0,Brand New,3
28900000,Toyota,Hilux,2026,0.0,Tiptronic,Diesel,2800.0,Brand New,0
8950000,Toyota,Yaris,2023,78000.0,Automatic,Petrol,1000.0,Used,3
53000000,Toyota,Vellfire,2025,7000.0,Automatic,Petrol,2500.0,Used,1
12500000,Toyota,Raize,2024,9000.0,Automatic,Petrol,1200.0,Used,2
26500000,Toyota,Hilux,2025,0.0,Automatic,Diesel,2800.0,Brand New,1
8950000,Toyota,Yaris,2023,75000.0,Automatic,Petrol,1000.0,Reconditioned,3
13000000,Toyota,Raize,2023,20113.0,Automatic,Petrol,1000.0,Brand New,3
18500000,Toyota,Yaris Ativ,2025,0.0,Automatic,Hybrid,1500.0,Brand New,1
13700000,Toyota,Corolla,2023,32000.0,Automatic,Hybrid,1500.0,Reconditioned,3
8500000,Toyota,Vitz,2018,82000.0,Automatic,Petrol,1000.0,Used,8
64950000,Toyota,Alphard,2024,4000.0,Automatic,Hybrid,2500.0,Reconditioned,2
